rentree_scolaire,denomination_principale_x,secteur,nombre_d_eleves,latitude,longitude,appariement,nature_uai_libe,numero_uai,code_departement
2021,LYCEE POLYVALENT PRIVE,PRIVE,465,47.2218832777331,-1.558899931519581,Correcte,LYCEE POLYVALENT,0442725Y,044
2021,LYCEE POLYVALENT,PUBLIC,908,47.208393577218665,-1.5329105760992363,Parfaite,LYCEE POLYVALENT,0442765S,44
2021,LYC GEN TECH PRIVE DES METIERS,PRIVE,1018,47.231708754423416,-1.5604393192938208,Correcte,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0442774B,44
2021,LYCEE GENERAL PRIVE,PRIVE,277,47.43932720480139,-1.4989803200030012,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0442778F,044
2021,LYCEE POLYVALENT,PUBLIC,380,47.43544400057447,-1.507517502980304,Correcte,LYCEE POLYVALENT,0442899M,044
2021,LPO LYCEE DES METIERS,PUBLIC,888,47.25224884428174,-1.6090696887606002,Parfaite,LYCEE POLYVALENT,0442094M,044
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1113,47.12112715695714,-2.087090591572812,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0441992B,44
2021,LGT LYCEE DES METIERS,PUBLIC,1038,47.18244185811753,-1.5605797575650464,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440062D,44
2021,LYCEE POLYVALENT PRIVE,PRIVE,785,47.18775996979996,-1.5471002786492254,Correcte,LYCEE POLYVALENT,0440274J,44
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,470,47.51850078199674,-2.0389070835381147,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440175B,044
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,721,47.24285844402288,-1.6053294255872417,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440176C,044
